"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","460","Create customer with invalid flat data type","sales-portal-api","Sat Dec 13 22:22:59 UTC 2025","passed","Sat Dec 13 22:22:59 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","2540","Create a customer with minimal required fields","sales-portal-api","Sat Dec 13 22:23:00 UTC 2025","passed","Sat Dec 13 22:23:03 UTC 2025","[API] [Sales Portal] [Customers] > [Create Positive]","","",""
"","3456","Delete Product","sales-portal-api","Sat Dec 13 22:23:49 UTC 2025","passed","Sat Dec 13 22:23:52 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","2811","Get customer by existing ID","sales-portal-api","Sat Dec 13 22:23:01 UTC 2025","passed","Sat Dec 13 22:23:04 UTC 2025","[API] [Sales Portal] [Customers] > [Get By ID Positive]","","",""
"","9885","Update product with existed name","sales-portal-api","Sat Dec 13 22:24:56 UTC 2025","passed","Sat Dec 13 22:25:06 UTC 2025","[API] [Sales Portal] [Products]","","",""
"","379","Create customer with invalid city data type","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:22:59 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","397","Create customer with invalid house data type","sales-portal-api","Sat Dec 13 22:22:58 UTC 2025","passed","Sat Dec 13 22:22:59 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","7227","sort by country","sales-portal-api","Sat Dec 13 22:23:13 UTC 2025","passed","Sat Dec 13 22:23:20 UTC 2025","Get customers all > positive","","",""
"","170","Create a customer with empty required field country","sales-portal-api","Sat Dec 13 22:22:57 UTC 2025","passed","Sat Dec 13 22:22:57 UTC 2025","[API] [Sales Portal] [Customers] > [Create Negative]","","",""
"","7085","sort by email","sales-portal-api","Sat Dec 13 22:23:03 UTC 2025","passed","Sat Dec 13 22:23:10 UTC 2025","Get customers all > positive","","",""
